time_sec_p1,time_sec_p2,time_sec_p3,time_min_total,videotime,yearDOB,gender,race,raceOther,state,education,income,adults,minors,frequencyPrior,frequencySince,platform,time,qID,respID,choice,altID,obsID,price,quantity,material,setOptions,set_price,total_price,material_Bamboo,material_Eco,material_Plastic,setOptions_f,setOptions_fk,setOptions_fks
89,255,90,7.233333333333333,52,1985,man,asian,NA,VA,degree_bs,incH_100to150,2,NA,month_2-3,week_2-5,takeout,24,6,3,0,1,22,30,200,Bamboo,fk,0.6,120,1,0,0,0,1,0
89,255,90,7.233333333333333,52,1985,man,asian,NA,VA,degree_bs,incH_100to150,2,NA,month_2-3,week_2-5,takeout,24,6,3,0,2,22,20,50,Eco,f,0.4,20,0,1,0,1,0,0
89,255,90,7.233333333333333,52,1985,man,asian,NA,VA,degree_bs,incH_100to150,2,NA,month_2-3,week_2-5,takeout,24,6,3,1,3,22,20,150,Plastic,fk,0.4,60,0,0,1,0,1,0
89,255,90,7.233333333333333,52,1985,man,asian,NA,VA,degree_bs,incH_100to150,2,NA,month_2-3,week_2-5,takeout,7,7,3,0,1,23,30,200,Bamboo,fk,0.6,120,1,0,0,0,1,0
89,255,90,7.233333333333333,52,1985,man,asian,NA,VA,degree_bs,incH_100to150,2,NA,month_2-3,week_2-5,takeout,7,7,3,1,2,23,25,150,Eco,fks,0.5,75,0,1,0,0,0,1
89,255,90,7.233333333333333,52,1985,man,asian,NA,VA,degree_bs,incH_100to150,2,NA,month_2-3,week_2-5,takeout,7,7,3,0,3,23,25,50,Plastic,fk,0.5,25,0,0,1,0,1,0
89,255,90,7.233333333333333,52,1985,man,asian,NA,VA,degree_bs,incH_100to150,2,NA,month_2-3,week_2-5,takeout,9,8,3,0,1,24,20,200,Bamboo,f,0.4,80,1,0,0,1,0,0
89,255,90,7.233333333333333,52,1985,man,asian,NA,VA,degree_bs,incH_100to150,2,NA,month_2-3,week_2-5,takeout,9,8,3,1,2,24,30,150,Eco,fks,0.6,90,0,1,0,0,0,1
89,255,90,7.233333333333333,52,1985,man,asian,NA,VA,degree_bs,incH_100to150,2,NA,month_2-3,week_2-5,takeout,9,8,3,0,3,24,20,50,Plastic,f,0.4,20,0,0,1,1,0,0
75,533,142,12.5,149,1994,woman,asian,NA,TX,degree_grad,incH_100to150,2,NA,month_2-3,week_1,"boxstores, takeout",55,1,4,0,1,25,30,50,Bamboo,fks,0.6,30,1,0,0,0,0,1
75,533,142,12.5,149,1994,woman,asian,NA,TX,degree_grad,incH_100to150,2,NA,month_2-3,week_1,"boxstores, takeout",55,1,4,0,2,25,30,200,Eco,fks,0.6,120,0,1,0,0,0,1
75,533,142,12.5,149,1994,woman,asian,NA,TX,degree_grad,incH_100to150,2,NA,month_2-3,week_1,"boxstores, takeout",55,1,4,1,3,25,20,50,Plastic,fks,0.4,20,0,0,1,0,0,1
75,533,142,12.5,149,1994,woman,asian,NA,TX,degree_grad,incH_100to150,2,NA,month_2-3,week_1,"boxstores, takeout",23,2,4,1,1,26,25,50,Bamboo,fks,0.5,25,1,0,0,0,0,1
75,533,142,12.5,149,1994,woman,asian,NA,TX,degree_grad,incH_100to150,2,NA,month_2-3,week_1,"boxstores, takeout",23,2,4,0,2,26,25,150,Eco,fks,0.5,75,0,1,0,0,0,1
75,533,142,12.5,149,1994,woman,asian,NA,TX,degree_grad,incH_100to150,2,NA,month_2-3,week_1,"boxstores, takeout",23,2,4,0,3,26,30,200,Plastic,f,0.6,120,0,0,1,1,0,0
75,533,142,12.5,149,1994,woman,asian,NA,TX,degree_grad,incH_100to150,2,NA,month_2-3,week_1,"boxstores, takeout",13,3,4,0,1,27,25,200,Bamboo,fks,0.5,100,1,0,0,0,0,1
75,533,142,12.5,149,1994,woman,asian,NA,TX,degree_grad,incH_100to150,2,NA,month_2-3,week_1,"boxstores, takeout",13,3,4,1,2,27,30,50,Eco,fk,0.6,30,0,1,0,0,1,0
75,533,142,12.5,149,1994,woman,asian,NA,TX,degree_grad,incH_100to150,2,NA,month_2-3,week_1,"boxstores, takeout",13,3,4,0,3,27,30,200,Plastic,f,0.6,120,0,0,1,1,0,0
75,533,142,12.5,149,1994,woman,asian,NA,TX,degree_grad,incH_100to150,2,NA,month_2-3,week_1,"boxstores, takeout",28,4,4,0,1,28,30,50,Bamboo,fk,0.6,30,1,0,0,0,1,0
75,533,142,12.5,149,1994,woman,asian,NA,TX,degree_grad,incH_100to150,2,NA,month_2-3,week_1,"boxstores, takeout",28,4,4,0,2,28,25,200,Eco,fk,0.5,100,0,1,0,0,1,0
75,533,142,12.5,149,1994,woman,asian,NA,TX,degree_grad,incH_100to150,2,NA,month_2-3,week_1,"boxstores, takeout",28,4,4,1,3,28,25,50,Plastic,fk,0.5,25,0,0,1,0,1,0
75,533,142,12.5,149,1994,woman,asian,NA,TX,degree_grad,incH_100to150,2,NA,month_2-3,week_1,"boxstores, takeout",19,5,4,1,1,29,25,50,Bamboo,fks,0.5,25,1,0,0,0,0,1
75,533,142,12.5,149,1994,woman,asian,NA,TX,degree_grad,incH_100to150,2,NA,month_2-3,week_1,"boxstores, takeout",19,5,4,0,2,29,25,150,Eco,fk,0.5,75,0,1,0,0,1,0
75,533,142,12.5,149,1994,woman,asian,NA,TX,degree_grad,incH_100to150,2,NA,month_2-3,week_1,"boxstores, takeout",19,5,4,0,3,29,20,50,Plastic,f,0.4,20,0,0,1,1,0,0
75,533,142,12.5,149,1994,woman,asian,NA,TX,degree_grad,incH_100to150,2,NA,month_2-3,week_1,"boxstores, takeout",36,6,4,0,1,30,20,150,Bamboo,f,0.4,60,1,0,0,1,0,0
75,533,142,12.5,149,1994,woman,asian,NA,TX,degree_grad,incH_100to150,2,NA,month_2-3,week_1,"boxstores, takeout",36,6,4,0,2,30,25,200,Eco,f,0.5,100,0,1,0,1,0,0
75,533,142,12.5,149,1994,woman,asian,NA,TX,degree_grad,incH_100to150,2,NA,month_2-3,week_1,"boxstores, takeout",36,6,4,1,3,30,25,50,Plastic,fk,0.5,25,0,0,1,0,1,0
75,533,142,12.5,149,1994,woman,asian,NA,TX,degree_grad,incH_100to150,2,NA,month_2-3,week_1,"boxstores, takeout",38,7,4,0,1,31,30,200,Bamboo,fk,0.6,120,1,0,0,0,1,0
75,533,142,12.5,149,1994,woman,asian,NA,TX,degree_grad,incH_100to150,2,NA,month_2-3,week_1,"boxstores, takeout",38,7,4,0,2,31,25,150,Eco,fk,0.5,75,0,1,0,0,1,0
75,533,142,12.5,149,1994,woman,asian,NA,TX,degree_grad,incH_100to150,2,NA,month_2-3,week_1,"boxstores, takeout",38,7,4,1,3,31,30,200,Plastic,fks,0.6,120,0,0,1,0,0,1
75,533,142,12.5,149,1994,woman,asian,NA,TX,degree_grad,incH_100to150,2,NA,month_2-3,week_1,"boxstores, takeout",28,8,4,0,1,32,25,50,Bamboo,fks,0.5,25,1,0,0,0,0,1
75,533,142,12.5,149,1994,woman,asian,NA,TX,degree_grad,incH_100to150,2,NA,month_2-3,week_1,"boxstores, takeout",28,8,4,1,2,32,20,150,Eco,fks,0.4,60,0,1,0,0,0,1
75,533,142,12.5,149,1994,woman,asian,NA,TX,degree_grad,incH_100to150,2,NA,month_2-3,week_1,"boxstores, takeout",28,8,4,0,3,32,30,150,Plastic,f,0.6,90,0,0,1,1,0,0
42,413,202,10.95,213,1994,woman,asian,NA,TX,degree_bs,incI_150to200,2,NA,month_2-3,month_2-3,"online, takeout",18,1,5,0,1,33,25,200,Bamboo,f,0.5,100,1,0,0,1,0,0
42,413,202,10.95,213,1994,woman,asian,NA,TX,degree_bs,incI_150to200,2,NA,month_2-3,month_2-3,"online, takeout",18,1,5,1,2,33,30,50,Eco,f,0.6,30,0,1,0,1,0,0
42,413,202,10.95,213,1994,woman,asian,NA,TX,degree_bs,incI_150to200,2,NA,month_2-3,month_2-3,"online, takeout",18,1,5,0,3,33,30,200,Plastic,f,0.6,120,0,0,1,1,0,0
42,413,202,10.95,213,1994,woman,asian,NA,TX,degree_bs,incI_150to200,2,NA,month_2-3,month_2-3,"online, takeout",20,2,5,0,1,34,30,50,Bamboo,fk,0.6,30,1,0,0,0,1,0
42,413,202,10.95,213,1994,woman,asian,NA,TX,degree_bs,incI_150to200,2,NA,month_2-3,month_2-3,"online, takeout",20,2,5,1,2,34,25,50,Eco,f,0.5,25,0,1,0,1,0,0
42,413,202,10.95,213,1994,woman,asian,NA,TX,degree_bs,incI_150to200,2,NA,month_2-3,month_2-3,"online, takeout",20,2,5,0,3,34,30,200,Plastic,f,0.6,120,0,0,1,1,0,0
42,413,202,10.95,213,1994,woman,asian,NA,TX,degree_bs,incI_150to200,2,NA,month_2-3,month_2-3,"online, takeout",11,3,5,0,1,35,25,50,Bamboo,fks,0.5,25,1,0,0,0,0,1
42,413,202,10.95,213,1994,woman,asian,NA,TX,degree_bs,incI_150to200,2,NA,month_2-3,month_2-3,"online, takeout",11,3,5,1,2,35,25,150,Eco,fk,0.5,75,0,1,0,0,1,0
42,413,202,10.95,213,1994,woman,asian,NA,TX,degree_bs,incI_150to200,2,NA,month_2-3,month_2-3,"online, takeout",11,3,5,0,3,35,30,150,Plastic,f,0.6,90,0,0,1,1,0,0
42,413,202,10.95,213,1994,woman,asian,NA,TX,degree_bs,incI_150to200,2,NA,month_2-3,month_2-3,"online, takeout",10,4,5,0,1,36,25,200,Bamboo,f,0.5,100,1,0,0,1,0,0
42,413,202,10.95,213,1994,woman,asian,NA,TX,degree_bs,incI_150to200,2,NA,month_2-3,month_2-3,"online, takeout",10,4,5,1,2,36,20,50,Eco,f,0.4,20,0,1,0,1,0,0
42,413,202,10.95,213,1994,woman,asian,NA,TX,degree_bs,incI_150to200,2,NA,month_2-3,month_2-3,"online, takeout",10,4,5,0,3,36,30,200,Plastic,fks,0.6,120,0,0,1,0,0,1
42,413,202,10.95,213,1994,woman,asian,NA,TX,degree_bs,incI_150to200,2,NA,month_2-3,month_2-3,"online, takeout",13,5,5,1,1,37,20,150,Bamboo,fks,0.4,60,1,0,0,0,0,1
42,413,202,10.95,213,1994,woman,asian,NA,TX,degree_bs,incI_150to200,2,NA,month_2-3,month_2-3,"online, takeout",13,5,5,0,2,37,25,50,Eco,f,0.5,25,0,1,0,1,0,0
42,413,202,10.95,213,1994,woman,asian,NA,TX,degree_bs,incI_150to200,2,NA,month_2-3,month_2-3,"online, takeout",13,5,5,0,3,37,30,200,Plastic,f,0.6,120,0,0,1,1,0,0
42,413,202,10.95,213,1994,woman,asian,NA,TX,degree_bs,incI_150to200,2,NA,month_2-3,month_2-3,"online, takeout",15,6,5,0,1,38,25,200,Bamboo,f,0.5,100,1,0,0,1,0,0
42,413,202,10.95,213,1994,woman,asian,NA,TX,degree_bs,incI_150to200,2,NA,month_2-3,month_2-3,"online, takeout",15,6,5,1,2,38,20,50,Eco,f,0.4,20,0,1,0,1,0,0
42,413,202,10.95,213,1994,woman,asian,NA,TX,degree_bs,incI_150to200,2,NA,month_2-3,month_2-3,"online, takeout",15,6,5,0,3,38,20,150,Plastic,fk,0.4,60,0,0,1,0,1,0
42,413,202,10.95,213,1994,woman,asian,NA,TX,degree_bs,incI_150to200,2,NA,month_2-3,month_2-3,"online, takeout",12,7,5,1,1,39,30,200,Bamboo,fk,0.6,120,1,0,0,0,1,0
42,413,202,10.95,213,1994,woman,asian,NA,TX,degree_bs,incI_150to200,2,NA,month_2-3,month_2-3,"online, takeout",12,7,5,0,2,39,25,200,Eco,f,0.5,100,0,1,0,1,0,0
42,413,202,10.95,213,1994,woman,asian,NA,TX,degree_bs,incI_150to200,2,NA,month_2-3,month_2-3,"online, takeout",12,7,5,0,3,39,20,200,Plastic,fk,0.4,80,0,0,1,0,1,0
42,413,202,10.95,213,1994,woman,asian,NA,TX,degree_bs,incI_150to200,2,NA,month_2-3,month_2-3,"online, takeout",13,8,5,1,1,40,20,150,Bamboo,fks,0.4,60,1,0,0,0,0,1
42,413,202,10.95,213,1994,woman,asian,NA,TX,degree_bs,incI_150to200,2,NA,month_2-3,month_2-3,"online, takeout",13,8,5,0,2,40,25,200,Eco,f,0.5,100,0,1,0,1,0,0
42,413,202,10.95,213,1994,woman,asian,NA,TX,degree_bs,incI_150to200,2,NA,month_2-3,month_2-3,"online, takeout",13,8,5,0,3,40,20,200,Plastic,fk,0.4,80,0,0,1,0,1,0
20,212,40,4.533333333333333,100,1999,woman,"white, hispanic",NA,IA,degree_bs,incC_15to25,1,NA,month_2-3,month_2-3,foodmarket,16,1,6,1,1,41,25,200,Bamboo,fks,0.5,100,1,0,0,0,0,1
20,212,40,4.533333333333333,100,1999,woman,"white, hispanic",NA,IA,degree_bs,incC_15to25,1,NA,month_2-3,month_2-3,foodmarket,16,1,6,0,2,41,25,50,Eco,f,0.5,25,0,1,0,1,0,0
20,212,40,4.533333333333333,100,1999,woman,"white, hispanic",NA,IA,degree_bs,incC_15to25,1,NA,month_2-3,month_2-3,foodmarket,16,1,6,0,3,41,20,200,Plastic,fks,0.4,80,0,0,1,0,0,1
20,212,40,4.533333333333333,100,1999,woman,"white, hispanic",NA,IA,degree_bs,incC_15to25,1,NA,month_2-3,month_2-3,foodmarket,12,2,6,1,1,42,25,150,Bamboo,fk,0.5,75,1,0,0,0,1,0
20,212,40,4.533333333333333,100,1999,woman,"white, hispanic",NA,IA,degree_bs,incC_15to25,1,NA,month_2-3,month_2-3,foodmarket,12,2,6,0,2,42,25,200,Eco,f,0.5,100,0,1,0,1,0,0
20,212,40,4.533333333333333,100,1999,woman,"white, hispanic",NA,IA,degree_bs,incC_15to25,1,NA,month_2-3,month_2-3,foodmarket,12,2,6,0,3,42,20,200,Plastic,fks,0.4,80,0,0,1,0,0,1
20,212,40,4.533333333333333,100,1999,woman,"white, hispanic",NA,IA,degree_bs,incC_15to25,1,NA,month_2-3,month_2-3,foodmarket,7,3,6,0,1,43,25,200,Bamboo,f,0.5,100,1,0,0,1,0,0
